time;logger;level;database;message;exception
2013-04-21 20:32:03.2209;Raven.Database.Storage.IndexDefinitionStorage;Info;<system>;"New index Customers%2fByFirstName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Customers_2fByFirstName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Customers_2fByFirstName()
	{
		this.ViewText = @""docs.Customers.Select(customer => new {
    FirstName = customer.FirstName
})"";
		this.ForEntityNames.Add(""Customers"");
		this.AddMapDefinition(docs => docs.Where(__document => string.Equals(__document[""@metadata""][""Raven-Entity-Name""], ""Customers"", System.StringComparison.InvariantCultureIgnoreCase)).Select((Func<dynamic, dynamic>)(customer => new {
			FirstName = customer.FirstName,
			__document_id = customer.__document_id
		})));
		this.AddField(""FirstName"");
		this.AddField(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Customers_2fByFirstName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Customers_2fByFirstName()
	{
		this.ViewText = @""docs.Customers.Select(customer => new {
    FirstName = customer.FirstName
})"";
		this.ForEntityNames.Add(""Customers"");
		this.AddMapDefinition(docs => docs.Where(__document => string.Equals(__document[""@metadata""][""Raven-Entity-Name""], ""Customers"", System.StringComparison.InvariantCultureIgnoreCase)).Select((Func<dynamic, dynamic>)(customer => new {
			FirstName = customer.FirstName,
			__document_id = customer.__document_id
		})));
		this.AddField(""FirstName"");
		this.AddField(""__document_id"");
	}
}
";
2013-04-21 20:32:03.2209;Raven.Database.Indexing.IndexStorage;Debug;<system>;Creating index Customers/ByFirstName with encoded name Customers/ByFirstName;
2013-04-21 20:32:03.2309;Raven.Database.Indexing.Index.Indexing;Debug;<system>;Creating index for Customers/ByFirstName;
2013-04-21 20:32:03.2309;Raven.Database.Indexing.WorkContext;Debug;<system>;Incremented work counter to 2 because: PUT INDEX Customers/ByFirstName;
2013-04-21 20:32:03.2309;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:32:03.2309;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work;
2013-04-21 20:32:03.2309;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/Replication/Destinations' was not found;
2013-04-21 20:32:03.2309;Raven.Database.Server.HttpServer;Debug;;Request #   6: PUT     -   107 ms - <system>   - 201 - /indexes/Customers/ByFirstName;
2013-04-21 20:32:03.2309;Raven.Database.Server.HttpServer;Debug;;Request #   7: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations;
2013-04-21 20:32:03.5659;Raven.Database.Indexing.Index.Querying;Debug;<system>;Issuing query on index Customers/ByFirstName for all documents;
2013-04-21 20:32:03.6039;Raven.Database.Server.HttpServer;Debug;;Request #   8: GET     -   218 ms - <system>   - 200 - /indexes/dynamic/Customers?query=&pageSize=1000;
2013-04-21 20:32:03.6039;Raven.Database.Server.HttpServer;Debug;;"	Query: 
	Time: 152 ms
	Index: Customers/ByFirstName
	Results: 0 returned out of 0 total.
";
2013-04-21 20:32:03.8429;Raven.Database.Storage.IndexDefinitionStorage;Info;<system>;"New index Temp%2fOrders:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Temp_2fOrders : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Temp_2fOrders()
	{
		this.ViewText = @""from doc in docs.Orders
select new {  }"";
		this.ForEntityNames.Add(""Orders"");
		this.AddMapDefinition(docs => 
			from doc in docs
			where string.Equals(doc[""@metadata""][""Raven-Entity-Name""], ""Orders"", System.StringComparison.InvariantCultureIgnoreCase)
			select new {
				__document_id = doc.__document_id
			});
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Temp_2fOrders : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Temp_2fOrders()
	{
		this.ViewText = @""from doc in docs.Orders
select new {  }"";
		this.ForEntityNames.Add(""Orders"");
		this.AddMapDefinition(docs => 
			from doc in docs
			where string.Equals(doc[""@metadata""][""Raven-Entity-Name""], ""Orders"", System.StringComparison.InvariantCultureIgnoreCase)
			select new {
				__document_id = doc.__document_id
			});
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2013-04-21 20:32:03.8429;Raven.Database.Indexing.IndexStorage;Debug;<system>;Creating index Temp/Orders with encoded name Temp/Orders;
2013-04-21 20:32:03.8639;Raven.Database.Indexing.Index.Indexing;Debug;<system>;Creating index for Temp/Orders;
2013-04-21 20:32:03.8639;Raven.Database.Indexing.WorkContext;Debug;<system>;Incremented work counter to 3 because: PUT INDEX Temp/Orders;
2013-04-21 20:32:03.8639;Raven.Database.Indexing.Index.Querying;Debug;<system>;Issuing query on index Temp/Orders for all documents;
2013-04-21 20:32:03.8639;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 3, for: IndexingExecuter, will wait for additional work;
2013-04-21 20:32:03.8639;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:32:03.8639;Raven.Database.Server.HttpServer;Debug;;Request #   9: GET     -   168 ms - <system>   - 200 - /indexes/dynamic/Orders?query=&pageSize=1000;
2013-04-21 20:32:03.8639;Raven.Database.Server.HttpServer;Debug;;"	Query: 
	Time: 168 ms
	Index: Temp/Orders
	Results: 0 returned out of 0 total.
";
2013-04-21 20:32:03.9679;Raven.Database.Storage.IndexDefinitionStorage;Info;<system>;"New index Temp%2fProducts:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Temp_2fProducts : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Temp_2fProducts()
	{
		this.ViewText = @""from doc in docs.Products
select new {  }"";
		this.ForEntityNames.Add(""Products"");
		this.AddMapDefinition(docs => 
			from doc in docs
			where string.Equals(doc[""@metadata""][""Raven-Entity-Name""], ""Products"", System.StringComparison.InvariantCultureIgnoreCase)
			select new {
				__document_id = doc.__document_id
			});
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Temp_2fProducts : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Temp_2fProducts()
	{
		this.ViewText = @""from doc in docs.Products
select new {  }"";
		this.ForEntityNames.Add(""Products"");
		this.AddMapDefinition(docs => 
			from doc in docs
			where string.Equals(doc[""@metadata""][""Raven-Entity-Name""], ""Products"", System.StringComparison.InvariantCultureIgnoreCase)
			select new {
				__document_id = doc.__document_id
			});
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2013-04-21 20:32:03.9679;Raven.Database.Indexing.IndexStorage;Debug;<system>;Creating index Temp/Products with encoded name Temp/Products;
2013-04-21 20:32:03.9679;Raven.Database.Indexing.Index.Indexing;Debug;<system>;Creating index for Temp/Products;
2013-04-21 20:32:03.9679;Raven.Database.Indexing.WorkContext;Debug;<system>;Incremented work counter to 4 because: PUT INDEX Temp/Products;
2013-04-21 20:32:03.9679;Raven.Database.Indexing.Index.Querying;Debug;<system>;Issuing query on index Temp/Products for all documents;
2013-04-21 20:32:03.9679;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:32:03.9679;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 4, for: IndexingExecuter, will wait for additional work;
2013-04-21 20:32:03.9679;Raven.Database.Server.HttpServer;Debug;;Request #  10: GET     -   103 ms - <system>   - 200 - /indexes/dynamic/Products?query=&pageSize=1000;
2013-04-21 20:32:03.9739;Raven.Database.Server.HttpServer;Debug;;"	Query: 
	Time: 103 ms
	Index: Temp/Products
	Results: 0 returned out of 0 total.
";
2013-04-21 20:32:04.0759;Raven.Database.Storage.IndexDefinitionStorage;Info;<system>;"New index Temp%2fBlogPosts:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Temp_2fBlogPosts : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Temp_2fBlogPosts()
	{
		this.ViewText = @""from doc in docs.BlogPosts
select new {  }"";
		this.ForEntityNames.Add(""BlogPosts"");
		this.AddMapDefinition(docs => 
			from doc in docs
			where string.Equals(doc[""@metadata""][""Raven-Entity-Name""], ""BlogPosts"", System.StringComparison.InvariantCultureIgnoreCase)
			select new {
				__document_id = doc.__document_id
			});
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Temp_2fBlogPosts : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Temp_2fBlogPosts()
	{
		this.ViewText = @""from doc in docs.BlogPosts
select new {  }"";
		this.ForEntityNames.Add(""BlogPosts"");
		this.AddMapDefinition(docs => 
			from doc in docs
			where string.Equals(doc[""@metadata""][""Raven-Entity-Name""], ""BlogPosts"", System.StringComparison.InvariantCultureIgnoreCase)
			select new {
				__document_id = doc.__document_id
			});
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2013-04-21 20:32:04.0759;Raven.Database.Indexing.IndexStorage;Debug;<system>;Creating index Temp/BlogPosts with encoded name Temp/BlogPosts;
2013-04-21 20:32:04.0759;Raven.Database.Indexing.Index.Indexing;Debug;<system>;Creating index for Temp/BlogPosts;
2013-04-21 20:32:04.0759;Raven.Database.Indexing.WorkContext;Debug;<system>;Incremented work counter to 5 because: PUT INDEX Temp/BlogPosts;
2013-04-21 20:32:04.0759;Raven.Database.Indexing.Index.Querying;Debug;<system>;Issuing query on index Temp/BlogPosts for all documents;
2013-04-21 20:32:04.0759;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 5, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:32:04.0759;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 5, for: IndexingExecuter, will wait for additional work;
2013-04-21 20:32:04.0759;Raven.Database.Server.HttpServer;Debug;;Request #  11: GET     -   105 ms - <system>   - 200 - /indexes/dynamic/BlogPosts?query=&pageSize=1000;
2013-04-21 20:32:04.0759;Raven.Database.Server.HttpServer;Debug;;"	Query: 
	Time: 104 ms
	Index: Temp/BlogPosts
	Results: 0 returned out of 0 total.
";
2013-04-21 20:33:46.7218;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/Replication/Destinations' was not found;
2013-04-21 20:33:46.7218;Raven.Database.Server.HttpServer;Debug;;Request #  12: GET     -     1 ms - <system>   - 404 - /docs/Raven/Replication/Destinations;
2013-04-21 20:33:46.8368;Raven.Database.Server.HttpServer;Debug;;Request #  13: HEAD    -     0 ms - <system>   - 200 - /indexes/BlogPosts/ByAuthor;
2013-04-21 20:33:47.0938;Raven.Database.Server.HttpServer;Debug;;Request #  14: PUT     -    11 ms - <system>   - 201 - /indexes/BlogPosts/ByAuthor;
2013-04-21 20:33:47.1428;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/Replication/Destinations' was not found;
2013-04-21 20:33:47.1428;Raven.Database.Server.HttpServer;Debug;;Request #  15: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations;
2013-04-21 20:33:47.1428;Raven.Database.Server.HttpServer;Debug;;Request #  16: HEAD    -     0 ms - <system>   - 200 - /indexes/Customers/ByFirstName;
2013-04-21 20:33:47.1428;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/Replication/Destinations' was not found;
2013-04-21 20:33:47.1428;Raven.Database.Server.HttpServer;Debug;;Request #  17: PUT     -     1 ms - <system>   - 201 - /indexes/Customers/ByFirstName;
2013-04-21 20:33:47.1428;Raven.Database.Server.HttpServer;Debug;;Request #  18: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations;
2013-04-21 20:33:47.2548;Raven.Database.Indexing.Index.Querying;Debug;<system>;Issuing query on index Customers/ByFirstName for all documents;
2013-04-21 20:33:47.2548;Raven.Database.Server.HttpServer;Debug;;Request #  19: GET     -     2 ms - <system>   - 200 - /indexes/dynamic/Customers?query=&pageSize=1000;
2013-04-21 20:33:47.2548;Raven.Database.Server.HttpServer;Debug;;"	Query: 
	Time: 2 ms
	Index: Customers/ByFirstName
	Results: 0 returned out of 0 total.
";
2013-04-21 20:33:47.3478;Raven.Database.Indexing.Index.Querying;Debug;<system>;Issuing query on index Temp/Orders for all documents;
2013-04-21 20:33:47.3478;Raven.Database.Server.HttpServer;Debug;;Request #  20: GET     -     1 ms - <system>   - 200 - /indexes/dynamic/Orders?query=&pageSize=1000;
2013-04-21 20:33:47.3478;Raven.Database.Indexing.Index.Querying;Debug;<system>;Issuing query on index Temp/Products for all documents;
2013-04-21 20:33:47.3478;Raven.Database.Indexing.Index.Querying;Debug;<system>;Issuing query on index Temp/BlogPosts for all documents;
2013-04-21 20:33:47.3478;Raven.Database.Server.HttpServer;Debug;;"	Query: 
	Time: 0 ms
	Index: Temp/Orders
	Results: 0 returned out of 0 total.
";
2013-04-21 20:33:47.3548;Raven.Database.Server.HttpServer;Debug;;Request #  22: GET     -     1 ms - <system>   - 200 - /indexes/dynamic/BlogPosts?query=&pageSize=1000;
2013-04-21 20:33:47.3548;Raven.Database.Server.HttpServer;Debug;;"	Query: 
	Time: 0 ms
	Index: Temp/BlogPosts
	Results: 0 returned out of 0 total.
";
2013-04-21 20:33:47.3478;Raven.Database.Server.HttpServer;Debug;;Request #  21: GET     -     1 ms - <system>   - 200 - /indexes/dynamic/Products?query=&pageSize=1000;
2013-04-21 20:33:47.3728;Raven.Database.Server.HttpServer;Debug;;"	Query: 
	Time: 0 ms
	Index: Temp/Products
	Results: 0 returned out of 0 total.
";
2013-04-21 20:33:47.4318;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/Hilo/customers' was not found;
2013-04-21 20:33:47.4318;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/ServerPrefixForHilo' was not found;
2013-04-21 20:33:47.4338;Raven.Database.Server.HttpServer;Debug;;Request #  23: GET     -    30 ms - <system>   - 200 - /queries/?&id=Raven/Hilo/customers&id=Raven/ServerPrefixForHilo;
2013-04-21 20:33:47.5188;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Inserted a new document with key 'Raven/Hilo/customers', update: False, ;
2013-04-21 20:33:47.5308;Raven.Database.Indexing.WorkContext;Debug;<system>;Incremented work counter to 6 because: PUT Raven/Hilo/customers;
2013-04-21 20:33:47.5308;Raven.Database.DocumentDatabase;Debug;<system>;Put document Raven/Hilo/customers with etag 00000001-0000-0100-0000-000000000001;
2013-04-21 20:33:47.5308;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 6, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:33:47.5308;Raven.Database.Server.HttpServer;Debug;;Request #  24: PUT     -    76 ms - <system>   - 201 - /docs/Raven/Hilo/customers;
2013-04-21 20:33:47.5918;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000: (Raven/Hilo/customers);
2013-04-21 20:33:47.6348;Raven.Database.Impl.DocumentRetriever;Debug;;Trigger Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/customers;
2013-04-21 20:33:47.6348;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;After read triggers executed, 1 documents remained;
2013-04-21 20:33:47.6538;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for Customers/ByFirstName, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000001, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6538;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for BlogPosts/ByAuthor, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000001, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6538;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for Temp/Orders, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000001, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6538;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for Temp/BlogPosts, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000001, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6538;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for Temp/Products, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000001, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6728;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Inserted a new document with key 'customers/1', update: False, ;
2013-04-21 20:33:47.6728;Raven.Database.DocumentDatabase;Debug;<system>;Put document customers/1 with etag 00000001-0000-0100-0000-000000000002;
2013-04-21 20:33:47.6728;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Inserted a new document with key 'customers/2', update: False, ;
2013-04-21 20:33:47.6728;Raven.Database.DocumentDatabase;Debug;<system>;Put document customers/2 with etag 00000001-0000-0100-0000-000000000003;
2013-04-21 20:33:47.6728;Raven.Database.Indexing.WorkContext;Debug;<system>;Incremented work counter to 7 because: PUT customers/1, PUT customers/2;
2013-04-21 20:33:47.6728;Raven.Database.DocumentDatabase;Debug;<system>;Successfully executed 2 commands in 00:00:00.0088250;
2013-04-21 20:33:47.6728;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 7, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:33:47.6728;Raven.Database.Server.HttpServer;Debug;;Request #  25: POST    -    30 ms - <system>   - 200 - /bulk_docs;
2013-04-21 20:33:47.6828;Raven.Database.Indexing.WorkContext;Debug;;Incremented work counter to 8 because: WORK BY IndexingExecuter;
2013-04-21 20:33:47.6828;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;;Found a total of 2 documents that requires indexing since etag: 00000001-0000-0100-0000-000000000001: (customers/1, customers/2);
2013-04-21 20:33:47.6828;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 8, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:33:47.6828;Raven.Database.Server.HttpServer;Debug;;"	PUT customers/1
	PUT customers/2
";
2013-04-21 20:33:47.6828;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;;After read triggers executed, 2 documents remained;
2013-04-21 20:33:47.6828;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for BlogPosts/ByAuthor, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000003, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6828;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for Temp/BlogPosts, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000003, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6828;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for Temp/Products, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000003, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6828;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;All documents have been filtered for Temp/Orders, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000003, 04/21/2013 18:33:47;
2013-04-21 20:33:47.6828;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;<system>;Going to index 2 documents in IndexName: Customers/ByFirstName, LastIndexedEtag: 00000001-0000-0100-0000-000000000001: (customers/1, customers/2);
